Name,Article 1,Created time,Likes,Number,Post,Substack,Tags
063 4-Layer Dashboard Model,,"October 9, 2025 12:23 PM",30,63,https://www.linkedin.com/posts/nekrasovdy_dashboards-activity-7377280136083206144-ZZvL?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Dashboards, Levels, Process"
076 Your CEO doesn’t care about your CTR,https://blog.jetmetrics.io/p/which-metrics-matter-for-your-role?r=4qhbbx,"November 12, 2025 12:16 PM",60,76,https://www.linkedin.com/posts/nekrasovdy_what-you-track-what-you-care-about-this-activity-7393916096824639488-6YgJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Categorization, Metrics list"
075 How a Vanity Metric Becomes Useful 1,,"November 12, 2025 12:16 PM",29,75,https://www.linkedin.com/posts/nekrasovdy_every-dashboard-has-metrics-that-mean-nothing-activity-7391526342586146816-VbSn?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Guide
074 4 leverages of how to drive,https://jetmetrics.substack.com/p/if-you-want-to-grow-ltv-dont-start,"November 12, 2025 12:16 PM",71,74,https://www.linkedin.com/posts/nekrasovdy_most-people-talk-about-ltv-as-if-its-a-single-activity-7388854057685225472-NTgp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Drivers, LTV"
073 Logic-first Dashboards Cascade,,"November 12, 2025 12:16 PM",46,73,https://www.linkedin.com/posts/nekrasovdy_most-teams-polish-visuals-few-design-the-activity-7388606152466649088-Iav_?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
070 3 dashboard types – 1 foundation,,"November 12, 2025 12:16 PM",74,70,https://www.linkedin.com/posts/nekrasovdy_dashboards-metricsmap-activity-7386375032740065280-2xnJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
071 Core map,,"November 12, 2025 12:16 PM",49,71,https://www.linkedin.com/posts/nekrasovdy_everyone-talks-about-traffic-and-ads-but-activity-7386784504754913280-DJ36?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric maps
"068 Conversion ↑, Profit ↓",https://blog.jetmetrics.io/p/cr-profit-dont-panic-start-here?r=4qhbbx,"November 12, 2025 12:16 PM",34,68,https://www.linkedin.com/posts/nekrasovdy_cr-metrics-activity-7384903638013616129-uv9J?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric combination
069 The Nothing Changed Problem,,"November 12, 2025 12:16 PM",14,69,https://www.linkedin.com/posts/nekrasovdy_the-most-dangerous-trend-in-analytics-isn-activity-7386017220088279040-8YlC?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Interpretation
066 Dots and connections,,"November 12, 2025 12:16 PM",32,66,https://www.linkedin.com/posts/nekrasovdy_a-single-metric-is-just-a-point-analytics-activity-7383481662342361089-IYE3?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Base
067 7 ways to decompose a key metric,https://blog.jetmetrics.io/p/7-ways-to-break-down-aov?r=4qhbbx,"November 12, 2025 12:16 PM",90,67,https://www.linkedin.com/posts/nekrasovdy_aov-activity-7384226766934130689-gqNY?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
081 How to structure dashboards the right way,,"December 1, 2025 1:15 PM",48,81,https://www.linkedin.com/posts/nekrasovdy_dashboards-dont-need-more-kpis-they-need-activity-7400173674353324032-o7GI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
080 Reduce cart abandonment Guide,,"December 1, 2025 1:15 PM",116,80,https://www.linkedin.com/posts/nekrasovdy_most-teams-treat-cart-abandonment-like-a-activity-7399379293060894721-o8-7?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CAR, CR, Drivers"
079 How Store’s Costs Are Formed,,"December 1, 2025 1:15 PM",63,79,https://www.linkedin.com/posts/nekrasovdy_most-e-commerce-dashboards-show-a-lot-of-activity-7397577475033210880-s6eZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric maps
078 The 4 layers of a Metrics System,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part,"December 1, 2025 1:15 PM",66,78,https://www.linkedin.com/posts/nekrasovdy_most-teams-work-with-metrics-but-very-activity-7397271070212263936-FZJD?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Levels
077 10 ways to slice your metrics,https://blog.jetmetrics.io/p/10-ways-to-slice-your-metrics?r=4qhbbx,"December 1, 2025 1:15 PM",62,77,https://www.linkedin.com/posts/nekrasovdy_10-useful-slices-for-e-commerce-metrics-activity-7394311508551254016-vgqK?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Segments
083 Metrics map ≠ metrics tree,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part,"January 6, 2026 1:04 PM",86,83,https://www.linkedin.com/posts/nekrasovdy_metrics-map-metrics-tree-this-is-a-consequence-activity-7401557436656140288-Vn1S?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric maps, Metric trees"
082 9 Circles of E-commerce Analytics Hell,,"January 6, 2026 1:04 PM",40,82,https://www.linkedin.com/posts/nekrasovdy_gluttony-pride-sloth-forget-it-analytics-activity-7401224825039523840-CDYc?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Levels, Mistakes"
086 SEO unexpected loops,,"January 6, 2026 1:04 PM",23,86,https://www.linkedin.com/posts/nekrasovdy_seo-is-full-of-hidden-loops-not-the-obvious-activity-7404873389422690304-LofH?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric maps, SEO"
087 From definitions to focus,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part,"January 6, 2026 1:04 PM",17,87,https://www.linkedin.com/posts/nekrasovdy_from-definitions-to-focus-the-problem-is-activity-7405927660582875136-T-cc?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Metrics list"
088 E-commerce Growth Rules,,"January 6, 2026 1:04 PM",50,88,https://www.linkedin.com/posts/nekrasovdy_%F0%9D%97%AC%F0%9D%97%BC%F0%9D%98%82%F0%9D%97%BF-%F0%9D%97%B2-%F0%9D%97%B0%F0%9D%97%BC%F0%9D%97%BA%F0%9D%97%BA%F0%9D%97%B2%F0%9D%97%BF%F0%9D%97%B0%F0%9D%97%B2-%F0%9D%97%B0%F0%9D%97%AE%F0%9D%97%BB-%F0%9D%97%B9%F0%9D%97%BC%F0%9D%97%BC%F0%9D%97%B8-activity-7407724482074718208-CCuu?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Interpretation, Metric combination"
090 The Lifecycle of Metric Maps and Trees,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part-840,"January 6, 2026 1:04 PM",16,90,https://www.linkedin.com/posts/nekrasovdy_metric-maps-and-metric-trees-arent-static-activity-7409194533076480000-bUAi?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric maps, Metric trees"
085 12 high-intent events behind your CR,https://jetmetrics.substack.com/p/12-high-intent-events-behind-your,"January 6, 2026 1:04 PM",33,85,https://www.linkedin.com/posts/nekrasovdy_12-high-intent-events-behind-your-cr-most-activity-7404454856490532864-Huyp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,CR
089 With or without metric map,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part-840,"January 6, 2026 1:04 PM",29,89,https://www.linkedin.com/posts/nekrasovdy_most-teams-build-metric-trees-too-early-activity-7408827028038320129-svxy?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric maps, Metric trees"
072 Good vs Bad Dashboards,,"January 6, 2026 1:05 PM",,72,https://www.linkedin.com/posts/nekrasovdy_good-vs-bad-analytics-most-teams-are-closer-activity-7429836270278930433-oU5w?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Base, Mistakes"
084 SEO metrics map,,"January 6, 2026 1:10 PM",140,84,https://www.linkedin.com/posts/nekrasovdy_how-to-grow-organic-traffic-explained-in-activity-7402280808209743872-Uuo0?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Metric maps, SEO"
"094 Orders ↑, Profit ↓",https://blog.jetmetrics.io/p/orders-profit-how-to-find-the-root?r=4qhbbx,"February 3, 2026 11:10 AM",24,94,https://www.linkedin.com/posts/nekrasovdy_%F0%9D%97%A2%F0%9D%97%BF%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%BF%F0%9D%98%80-%F0%9D%97%A3%F0%9D%97%BF%F0%9D%97%BC%F0%9D%97%B3%F0%9D%97%B6%F0%9D%98%81-how-to-find-activity-7419054739637620736-mUJO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Interpretation
098 Side effects,https://blog.jetmetrics.io/p/side-effects-of-local-kpi-optimization?r=4qhbbx,"February 3, 2026 11:10 AM",33,98,https://www.linkedin.com/posts/nekrasovdy_the-hidden-cost-of-kpi-optimization-a-green-activity-7424001863747993600-_xlk?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metric combination
097 Spontaneous Decisions VS System,,"February 3, 2026 11:10 AM",25,97,https://www.linkedin.com/posts/nekrasovdy_most-data-driven-decisions-are-still-reactive-activity-7422665054527070209-xSqd?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Process"
096 CR Driver Tree,https://jetmetrics.substack.com/p/your-cr-is-falling-4-places-to-look,"February 3, 2026 11:10 AM",146,96,https://www.linkedin.com/posts/nekrasovdy_conversion-rate-is-an-outcome-not-a-lever-activity-7422212171394166784-MabM?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CR, Metric trees"
093 10-step AOV drop diagnostic algorithm,https://blog.jetmetrics.io/p/10-step-aov-drop-diagnostic-algorithm?r=4qhbbx,"February 3, 2026 11:10 AM",50,93,https://www.linkedin.com/posts/nekrasovdy_10-step-aov-drop-diagnostic-algorithm-average-activity-7417298048763977729-SLZJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"AOV, Algorithm"
095 15 metric frameworks,,"February 3, 2026 11:10 AM",34,95,https://www.linkedin.com/posts/nekrasovdy_you-can-track-100s-of-metrics-and-still-not-activity-7419380905393152000-OeRO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Categorization
092 Analytics Priorities 2026,,"February 3, 2026 11:10 AM",25,92,https://www.linkedin.com/posts/nekrasovdy_analytics-priorities-in-2026-over-the-past-activity-7416850938730176512-t9e6?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Levels"
091 CRM metrics map,,"February 3, 2026 11:10 AM",123,91,https://www.linkedin.com/posts/nekrasovdy_why-did-customer-growth-change-the-problem-activity-7415319729491517441-5eam?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"CRM, Metric maps"
099 How to define key metric,https://blog.jetmetrics.io/p/how-to-choose-the-right-key-metric?r=4qhbbx,"February 18, 2026 4:10 PM",47,99,https://www.linkedin.com/posts/nekrasovdy_if-everything-is-important-nothing-guides-activity-7427398537061163008-GYRI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Algorithm
100 How to add a metric,https://blog.jetmetrics.io/p/why-your-metrics-dont-lead-to-decisions?r=4qhbbx,"February 18, 2026 4:10 PM",49,100,https://www.linkedin.com/posts/nekrasovdy_if-a-metric-cant-change-a-decision-dont-activity-7428852478579736576-ziQy?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Algorithm, Dashboards"
108 Optimization is NOT Growth,,"April 6, 2026 10:36 AM",40,108,https://www.linkedin.com/posts/nekrasovdy_revenue-up-20-but-your-customer-base-grew-activity-7444664321474760704-oF7b?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Mistakes
104 How to destroy e-commerce growth,,"April 6, 2026 10:36 AM",58,104,https://www.linkedin.com/posts/nekrasovdy_how-to-%F0%9D%97%B1%F0%9D%97%B2%F0%9D%98%80%F0%9D%98%81%F0%9D%97%BF%F0%9D%97%BC%F0%9D%98%86-your-e-commerce-growth-activity-7440366563435761664-pkyW?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Mistakes
106 Same Revenue. Different ecom apps,,"April 6, 2026 10:36 AM",68,106,https://www.linkedin.com/posts/nekrasovdy_same-revenue-opposite-problems-which-shopping-activity-7442861919171969024-shRH?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Interpretation, Metric combination"
107 How to explain metrics,,"April 6, 2026 10:36 AM",,107,,Yes,Algorithm
105 Metric went up is that good,,"April 6, 2026 10:36 AM",158,105,https://www.linkedin.com/posts/nekrasovdy_good-bad-thats-how-most-teams-activity-7441822536172089344-rhyy?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Categorization, Metrics list"
103 What people think Checking why revenue dropped looks like,,"April 6, 2026 10:36 AM",92,103,https://www.linkedin.com/posts/nekrasovdy_revenue-dropped-12-can-you-check-why-activity-7439659315097100288-TGwQ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Interpretation
102 5 Metrics That Predict Repeat Purchases,,"April 6, 2026 10:36 AM",22,102,https://www.linkedin.com/posts/nekrasovdy_most-repeat-purchases-are-predictable-often-activity-7437548696281714688-u2E-?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Metrics list, Retention"
101 Email metric map,,"April 6, 2026 10:36 AM",73,101,https://www.linkedin.com/posts/nekrasovdy_the-anatomy-of-email-as-a-system-open-rate-activity-7431697772027744256-dP9w?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Email, Metric maps"
109 One metric won't tell you what's wrong,https://blog.jetmetrics.io/p/one-metric-a-symptom-track-combinations?r=4qhbbx,"April 6, 2026 10:47 AM",137,109,https://www.linkedin.com/posts/nekrasovdy_stop-tracking-metrics-start-tracking-combinations-activity-7445407678685732864-AizT?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metric combination
,,"May 4, 2026 12:01 PM",,,,No,
112 When growth is eating e-commerce business,,"May 4, 2026 12:04 PM",88,112,https://www.linkedin.com/posts/nekrasovdy_more-orders-should-mean-more-money-heres-activity-7449070486518575104-F9yV?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Growth
116 The Real ROI Formula,,"May 4, 2026 12:04 PM",37,116,https://www.linkedin.com/posts/nekrasovdy_think-your-shopping-apps-roi-is-10-its-activity-7453043223003992072-5Ryr?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,ROI
121 32 e-com analytics frameworks,,"May 4, 2026 12:04 PM",52,121,https://www.linkedin.com/posts/nekrasovdy_forget-the-latest-dashboards-or-next-attribution-activity-7454523140170403840-rSc0?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Base
115 Inventory Management Metric Map,,"May 4, 2026 12:04 PM",41,115,https://www.linkedin.com/posts/nekrasovdy_ltv-is-the-sexy-goal-but-inventory-is-the-activity-7452290323554226183-3gDz?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric maps
120 What Shoppers Actually Want,,"May 4, 2026 12:04 PM",27,120,https://www.linkedin.com/posts/nekrasovdy_9-things-us-shoppers-want-from-retail-apps-activity-7455213972414214144-up63?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metrics list
114 How top e-commerce teams read their data differently,https://blog.jetmetrics.io/p/why-analytics-doesnt-make-decisions?r=4qhbbx,"May 4, 2026 12:04 PM",43,114,https://www.linkedin.com/posts/nekrasovdy_i-keep-seeing-the-same-8-analytics-habits-activity-7451615089213952000-5RK3?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metrics list
111 Your bundle is selling. But is it working,,"May 4, 2026 12:05 PM",17,111,https://www.linkedin.com/posts/nekrasovdy_anyone-can-launch-a-bundle-the-hard-part-activity-7448327055034945536-w-hO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,AOV
113 Is your GEO actually working_,https://blog.jetmetrics.io/p/how-to-measure-geo-performance?r=4qhbbx,"May 4, 2026 12:06 PM",37,113,https://www.linkedin.com/posts/nekrasovdy_geo-working-or-wasting-your-time-ai-tools-activity-7450126301085986816-8ep3?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"AI, Dashboards"
128 Dashboard Arsenal,,"June 1, 2026 5:25 PM",83,128,https://www.linkedin.com/posts/nekrasovdy_pros-dont-build-dashboards-they-steal-good-activity-7463112496002969600-uJdI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Dashboards
130 The 12 retention mistakes,,"June 1, 2026 5:25 PM",43,130,https://www.linkedin.com/posts/nekrasovdy_healthy-retention-is-the-easiest-number-to-activity-7465039550122373120-pZ-7?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Retention
129 Read every metric drop through 5 questions,,"June 1, 2026 5:25 PM",9,129,https://www.linkedin.com/posts/nekrasovdy_revenue-dropped-12-your-ceo-asks-why-activity-7463576372603568128-Q4mu?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Guide
125 Acquire or retain isn't the question,,"June 1, 2026 5:25 PM",20,125,https://www.linkedin.com/posts/nekrasovdy_where-should-i-spend-my-next-marketing-dollar-activity-7458455653335007232-i15X?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"A𝗰𝗾𝘂𝗶𝘀𝗶𝘁𝗶𝗼𝗻, Retention"
123 Metrics That Matter by Role,,"June 1, 2026 5:25 PM",30,123,https://www.linkedin.com/posts/nekrasovdy_ceo-does-not-need-to-know-cpc-an-agency-activity-7457335011269128192-ZhG1?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metrics list
127 Stop asking AI for answers,,"June 1, 2026 5:26 PM",28,127,https://www.linkedin.com/posts/nekrasovdy_ask-claude-why-did-cr-drop-and-you-get-activity-7462122213668851712-Ynkl?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,AI
126 Higher AOV might mean you're losing money,,"June 1, 2026 5:26 PM",13,126,https://www.linkedin.com/posts/nekrasovdy_your-aov-is-up-15-dashboard-says-you-activity-7460951529731088384-JZd8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,AOV
124 Volume Value Matrix,,"June 1, 2026 5:26 PM",45,124,https://www.linkedin.com/posts/nekrasovdy_revenue-30-means-nothing-on-its-own-i-activity-7459515894507978752-Dfdh?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Growth